,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,dist_from_bway_miles,years_host_since,days_since_first_review,days_since_last_review,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Other,property_type_Townhouse,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Other,bed_type_Real Bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60
2839,1.0,0.0,78.0,1.0,0.0,36.12813,-86.78679,6.0,3.5,3.0,4.0,134.0,0.0,254.0,6.0,0.0,2.0,1125.0,0.3333333333333333,0.43333333333333335,0.6222222222222222,0.8986301369863013,10.0,4.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,0.27,2.452331907855508,2.1383053724580243,1124.0,158.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2840,1.0,0.0,78.0,1.0,0.0,36.12165,-86.79262,4.0,1.0,0.0,2.0,130.0,0.0,185.0,4.0,0.0,3.0,1125.0,0.36666666666666664,0.5333333333333333,0.6555555555555556,0.19726027397260273,7.0,2.0,89.0,10.0,8.0,9.0,8.0,10.0,9.0,1.0,0.0,0.0,0.0,0.18,2.9788933202856778,2.1383053724580243,1138.0,192.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2841,1.0,0.0,78.0,1.0,0.0,36.163070000000005,-86.85454,10.0,4.0,3.0,6.0,136.0,0.0,275.0,10.0,0.0,2.0,1125.0,0.5,0.6833333333333333,0.7,0.9013698630136986,24.0,10.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,0.64,4.481084831227959,2.141043279465013,1126.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2842,1.0,1.0,2.0,1.0,0.0,36.104240000000004,-86.74385,4.0,1.0,1.0,3.0,95.0,250.0,55.0,2.0,10.0,1.0,25.0,0.16666666666666666,0.35,0.5111111111111111,0.15342465753424658,188.0,94.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,7.92,4.3492094954397125,4.4271956303004165,711.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2843,1.0,1.0,3.0,1.0,0.0,36.095459999999996,-86.80546,8.0,4.0,4.0,4.0,485.0,500.0,200.0,1.0,0.0,2.0,365.0,0.6333333333333333,0.7666666666666667,0.8111111111111111,0.9205479452054794,36.0,16.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1.57,4.921772210495765,2.6010116566390824,688.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2845,1.0,1.0,2.0,1.0,1.0,36.18072,-86.75067,2.0,1.0,1.0,1.0,116.0,100.0,50.0,1.0,0.0,1.0,10.0,0.03333333333333333,0.11666666666666667,0.23333333333333334,0.6958904109589041,268.0,143.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,11.62,1.838928560056751,6.247903789947775,691.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2846,1.0,1.0,2.0,1.0,1.0,36.15636,-86.88571,4.0,1.0,2.0,2.0,47.0,0.0,200.0,4.0,0.0,30.0,1125.0,0.0,0.0,0.0,0.5205479452054794,1.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.61,6.236927659572972,5.037748892858854,48.0,48.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2847,1.0,0.0,98.0,1.0,0.0,36.09299,-86.88693,6.0,2.0,3.0,3.0,129.0,0.0,280.0,6.0,0.0,2.0,1125.0,0.3333333333333333,0.6666666666666666,0.7777777777777778,0.9397260273972603,8.0,4.0,86.0,9.0,9.0,9.0,10.0,9.0,8.0,1.0,0.0,0.0,0.0,0.38,7.900803342919924,2.7871893331143007,627.0,90.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2848,0.98,1.0,67.0,1.0,1.0,36.22113,-86.70599,4.0,1.0,1.0,2.0,149.0,0.0,69.0,1.0,0.0,2.0,1125.0,0.9666666666666667,0.9833333333333333,0.9888888888888889,0.9972602739726028,1.0,1.0,80.0,6.0,8.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0,0.0,0.22,5.576717732626452,3.901517484958623,133.0,133.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2850,0.98,1.0,67.0,1.0,1.0,36.21986,-86.70562,8.0,2.0,2.0,4.0,219.0,0.0,69.0,1.0,0.0,2.0,1125.0,0.8666666666666667,0.9333333333333333,0.9555555555555556,0.989041095890411,3.0,1.0,100.0,10.0,10.0,8.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.19,5.52767864261042,3.901517484958623,472.0,208.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
